Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Mario Kart Wii U| https://www.vgchartz.com/game/71408/mario-kart-8/| 2014| Racing| Nintendo| 3.22| 2.55| 1.39| 0.54| 7.69| Nintendo Wii U
New Super Mario Bros. U| https://www.vgchartz.com/game/70766/new-super-mario-bros-u/| 2012| Platform| Nintendo| 2.30| 1.63| 1.32| 0.38| 5.62| Nintendo Wii U
Super Smash Bros. Next| https://www.vgchartz.com/game/71411/super-smash-bros-for-wii-u/| 2014| Fighting| Nintendo| 2.68| 1.15| 0.85| 0.39| 5.07| Nintendo Wii U
Super Mario 3D World| https://www.vgchartz.com/game/73166/super-mario-3d-world/| 2013| Platform| Nintendo| 2.31| 1.54| 0.79| 0.37| 5.01| Nintendo Wii U
Splatoon| https://www.vgchartz.com/game/82965/splatoon/| 2015| Shooter| Nintendo| 1.58| 1.30| 1.56| 0.27| 4.71| Nintendo Wii U
Nintendo Land| https://www.vgchartz.com/game/70772/nintendo-land/| 2012| Party| Nintendo| 2.52| 1.23| 0.51| 0.38| 4.63| Nintendo Wii U
Super Mario Maker| https://www.vgchartz.com/game/82961/super-mario-maker/| 2015| Platform| Nintendo| 1.27| 0.94| 1.03| 0.21| 3.45| Nintendo Wii U
New Super Luigi U| https://www.vgchartz.com/game/72208/new-super-luigi-u/| 2013| Action| Nintendo| 1.25| 0.75| 0.22| 0.20| 2.42| Nintendo Wii U
The Legend of Zelda: The Wind Waker| https://www.vgchartz.com/game/71407/the-legend-of-zelda-the-wind-waker/| 2013| Action-Adventure| Nintendo| 1.04| 0.73| 0.15| 0.17| 2.08| Nintendo Wii U
Mario Party 10| https://www.vgchartz.com/game/82966/mario-party-10/| 2015| Misc| Nintendo| 0.82| 0.75| 0.29| 0.14| 2.00| Nintendo Wii U
Wii Party U| https://www.vgchartz.com/game/73170/wii-party-u/| 2013| Party| Nintendo| 0.30| 0.66| 0.84| 0.08| 1.88| Nintendo Wii U
Donkey Kong Country: Tropical Freeze| https://www.vgchartz.com/game/73169/donkey-kong-country-tropical-freeze/| 2014| Platform| Nintendo| 0.74| 0.68| 0.16| 0.13| 1.71| Nintendo Wii U
Yarn Yoshi| https://www.vgchartz.com/game/71431/yoshis-woolly-world/| 2015| Platform| Nintendo| 0.74| 0.53| 0.12| 0.12| 1.52| Nintendo Wii U
Minecraft| https://www.vgchartz.com/game/108803/minecraft/| 2016| Misc| Mojang| 0.50| 0.49| 0.38| 0.09| 1.47| Nintendo Wii U
Captain Toad: Treasure Tracker| https://www.vgchartz.com/game/82962/captain-toad-treasure-tracker/| 2014| Puzzle| Nintendo| 0.64| 0.46| 0.20| 0.11| 1.41| Nintendo Wii U
Pokken Tournament| https://www.vgchartz.com/game/86183/pokken-tournament/| 2016| Fighting| Namco Bandai Games| 0.68| 0.40| 0.18| 0.11| 1.37| Nintendo Wii U
The Legend of Zelda: Breath of the Wild| https://www.vgchartz.com/game/84704/the-legend-of-zelda-breath-of-the-wild/| 2017| Action-Adventure| Nintendo| 0.66| 0.42| 0.15| 0.11| 1.34| Nintendo Wii U
Hyrule Warriors| https://www.vgchartz.com/game/77879/hyrule-warriors/| 2014| Misc| Nintendo| 0.59| 0.44| 0.13| 0.10| 1.26| Nintendo Wii U
Lego City Stories Undercover| https://www.vgchartz.com/game/70767/lego-city-undercover/| 2013| Action| Nintendo| 0.50| 0.52| 0.13| 0.09| 1.24| Nintendo Wii U
The Legend of Zelda: Twilight Princess HD| https://www.vgchartz.com/game/86184/the-legend-of-zelda-twilight-princess-hd/| 2016| Action-Adventure| Nintendo| 0.67| 0.37| 0.10| 0.10| 1.24| Nintendo Wii U
Pikmin 3| https://www.vgchartz.com/game/25723/pikmin-3/| 2013| Strategy| Nintendo| 0.47| 0.38| 0.29| 0.08| 1.23| Nintendo Wii U
Paper Mario: Color Splash| https://www.vgchartz.com/game/94672/paper-mario-color-splash/| 2016| Action-Adventure| Nintendo| 0.35| 0.37| 0.08| 0.06| 0.87| Nintendo Wii U
Wii Fit U| https://www.vgchartz.com/game/70771/wii-fit-u/| 2013| Misc| Nintendo| 0.35| 0.24| 0.21| 0.06| 0.86| Nintendo Wii U
Bayonetta 2| https://www.vgchartz.com/game/70956/bayonetta-2/| 2014| Action| Nintendo| 0.37| 0.32| 0.10| 0.06| 0.86| Nintendo Wii U
X (working title)| https://www.vgchartz.com/game/71409/xenoblade-chronicles-x/| 2015| Role-Playing| Nintendo| 0.34| 0.29| 0.15| 0.06| 0.84| Nintendo Wii U
ZombiU| https://www.vgchartz.com/game/70793/zombiu/| 2012| Action| Ubisoft| 0.35| 0.37| 0.05| 0.07| 0.84| Nintendo Wii U
Mario & Sonic at the Sochi 2014 Olympic Winter Games| https://www.vgchartz.com/game/77203/mario-amp-sonic-at-the-sochi-2014-olympic-winter-games/| 2013| Sports| Nintendo| 0.37| 0.23| 0.14| 0.06| 0.80| Nintendo Wii U
Lego Marvel Super Heroes| https://www.vgchartz.com/game/71341/lego-marvel-super-heroes/| 2013| Action| Warner Bros. Interactive Entertainment| 0.31| 0.36| 0.03| 0.06| 0.76| Nintendo Wii U
Skylanders: Trap Team| https://www.vgchartz.com/game/81434/skylanders-trap-team/| 2014| Action-Adventure| Activision| 0.42| 0.26| 0.00| 0.07| 0.75| Nintendo Wii U
Just Dance 2015| https://www.vgchartz.com/game/82946/just-dance-2015/| 2014| Music| Ubisoft| 0.40| 0.29| 0.00| 0.07| 0.75| Nintendo Wii U
Monster Hunter 3 Ultimate| https://www.vgchartz.com/game/70955/monster-hunter-3-ultimate/| 2012| Role-Playing| Capcom| 0.24| 0.20| 0.22| 0.04| 0.71| Nintendo Wii U
Disney Infinity 2.0: Marvel Super Heroes| https://www.vgchartz.com/game/81783/disney-infinity-20-marvel-super-heroes/| 2014| Action-Adventure| Disney Interactive Studios| 0.41| 0.22| 0.00| 0.06| 0.70| Nintendo Wii U
Rayman Legends| https://www.vgchartz.com/game/70792/rayman-legends/| 2013| Platform| Ubisoft| 0.25| 0.35| 0.03| 0.05| 0.68| Nintendo Wii U
Disney Infinity| https://www.vgchartz.com/game/71964/disney-infinity/| 2013| Action-Adventure| Disney Interactive Studios| 0.37| 0.24| 0.00| 0.06| 0.67| Nintendo Wii U
The LEGO Movie Videogame| https://www.vgchartz.com/game/74478/the-lego-movie-videogame/| 2014| Action-Adventure| Warner Bros. Interactive Entertainment| 0.33| 0.24| 0.03| 0.05| 0.66| Nintendo Wii U
LEGO Dimensions| https://www.vgchartz.com/game/85351/lego-dimensions/| 2015| Action| Warner Bros. Interactive Entertainment| 0.37| 0.22| 0.00| 0.06| 0.65| Nintendo Wii U
Just Dance 2014| https://www.vgchartz.com/game/73120/just-dance-2014/| 2013| Music| Ubisoft| 0.34| 0.25| 0.00| 0.06| 0.64| Nintendo Wii U
Skylanders SWAP Force| https://www.vgchartz.com/game/73003/skylanders-swap-force/| 2013| Platform| Activision| 0.39| 0.16| 0.00| 0.06| 0.61| Nintendo Wii U
Just Dance 2016| https://www.vgchartz.com/game/85742/just-dance-2016/| 2015| Music| Ubisoft| 0.29| 0.25| 0.00| 0.05| 0.60| Nintendo Wii U
Skylanders: SuperChargers| https://www.vgchartz.com/game/85609/skylanders-superchargers/| 2015| Action-Adventure| Activision| 0.32| 0.22| 0.00| 0.05| 0.59| Nintendo Wii U
Kirby and the Rainbow Curse| https://www.vgchartz.com/game/82963/kirby-and-the-rainbow-curse/| 2015| Platform| Nintendo| 0.26| 0.14| 0.13| 0.04| 0.58| Nintendo Wii U
LEGO Jurassic World| https://www.vgchartz.com/game/85093/lego-jurassic-world/| 2015| Action| Warner Bros. Interactive Entertainment| 0.29| 0.20| 0.03| 0.05| 0.57| Nintendo Wii U
Disney Infinity 3.0| https://www.vgchartz.com/game/85465/disney-infinity-30/| 2015| Action| Disney Interactive Studios| 0.27| 0.23| 0.00| 0.05| 0.55| Nintendo Wii U
Mario Tennis Ultra Smash| https://www.vgchartz.com/game/85768/mario-tennis-ultra-smash/| 2015| Sports| Nintendo| 0.16| 0.20| 0.15| 0.03| 0.54| Nintendo Wii U
Sonic & Sega All-Stars Racing Transformed| https://www.vgchartz.com/game/71084/sonic-amp-sega-all-stars-racing-transformed/| 2012| Racing| Sega| 0.19| 0.28| 0.02| 0.04| 0.53| Nintendo Wii U
FIFA 13| https://www.vgchartz.com/game/70893/fifa-13/| 2012| Sports| EA Sports| 0.18| 0.28| 0.00| 0.04| 0.49| Nintendo Wii U
Animal Crossing: Amiibo Festival| https://www.vgchartz.com/game/85738/animal-crossing-amiibo-festival/| 2015| Party| Nintendo| 0.23| 0.12| 0.10| 0.04| 0.49| Nintendo Wii U
Mario & Sonic at the Rio 2016 Olympic Games| https://www.vgchartz.com/game/86398/mario-amp-sonic-at-the-rio-2016-olympic-games/| 2016| Sports| Nintendo| 0.10| 0.23| 0.13| 0.03| 0.49| Nintendo Wii U
Lego Batman 3: Beyond Gotham| https://www.vgchartz.com/game/82479/lego-batman-3-beyond-gotham/| 2014| Action| Warner Bros. Interactive Entertainment| 0.21| 0.21| 0.00| 0.04| 0.45| Nintendo Wii U
Skylanders Imaginators| https://www.vgchartz.com/game/117541/skylanders-imaginators/| 2016| Platform| Activision| 0.19| 0.22| 0.00| 0.04| 0.45| Nintendo Wii U
Star Fox: Zero| https://www.vgchartz.com/game/82964/star-fox-zero/| 2016| Shooter| Nintendo| 0.20| 0.12| 0.09| 0.03| 0.44| Nintendo Wii U
Just Dance 2017| https://www.vgchartz.com/game/119949/just-dance-2017/| 2016| Music| Ubisoft| 0.19| 0.21| 0.00| 0.04| 0.43| Nintendo Wii U
Dragon Quest X| https://www.vgchartz.com/game/71907/dragon-quest-x/| 2013| MMO| Square Enix| 0.00| 0.00| 0.42| 0.00| 0.42| Nintendo Wii U
Call of Duty: Black Ops II| https://www.vgchartz.com/game/70961/call-of-duty-black-ops-ii/| 2012| Shooter| Activision| 0.20| 0.18| 0.00| 0.04| 0.42| Nintendo Wii U
Skylanders Giants| https://www.vgchartz.com/game/71072/skylanders-giants/| 2012| Misc| Activision| 0.23| 0.13| 0.00| 0.04| 0.39| Nintendo Wii U
Wii Sports Club| https://www.vgchartz.com/game/83080/wii-sports-club/| 2014| Sports| Nintendo| 0.17| 0.14| 0.04| 0.03| 0.38| Nintendo Wii U
Just Dance 4| https://www.vgchartz.com/game/70773/just-dance-4/| 2012| Music| Ubisoft| 0.21| 0.14| 0.00| 0.03| 0.38| Nintendo Wii U
Scribblenauts: Unlimited| https://www.vgchartz.com/game/70770/scribblenauts-unlimited/| 2012| Puzzle| Warner Bros. Interactive Entertainment| 0.25| 0.10| 0.00| 0.04| 0.38| Nintendo Wii U
Batman: Arkham City| https://www.vgchartz.com/game/70796/batman-arkham-city-armored-edition/| 2012| Action| Warner Bros. Interactive Entertainment| 0.16| 0.18| 0.00| 0.03| 0.37| Nintendo Wii U
Sonic Lost World| https://www.vgchartz.com/game/72210/sonic-lost-world/| 2013| Platform| Sega| 0.20| 0.13| 0.01| 0.03| 0.37| Nintendo Wii U
ESPN: Sports Connection| https://www.vgchartz.com/game/70964/espn-sports-connection/| 2012| Sports| Ubisoft| 0.20| 0.13| 0.00| 0.03| 0.36| Nintendo Wii U
The Wonderful 101| https://www.vgchartz.com/game/72209/the-wonderful-101/| 2013| Action| Nintendo| 0.15| 0.11| 0.08| 0.02| 0.36| Nintendo Wii U
Assassin's Creed III| https://www.vgchartz.com/game/70620/assassins-creed-iii/| 2012| Action-Adventure| Ubisoft| 0.19| 0.14| 0.00| 0.03| 0.36| Nintendo Wii U
Call of Duty: Modern Warfare 4 (Working Title)| https://www.vgchartz.com/game/71505/call-of-duty-ghosts/| 2013| Shooter| Activision| 0.22| 0.09| 0.01| 0.03| 0.35| Nintendo Wii U
Shin Megami Tensei x Fire Emblem| https://www.vgchartz.com/game/85905/tokyo-mirage-sessions-fe/| 2015| Role-Playing| Nintendo| 0.17| 0.06| 0.08| 0.02| 0.33| Nintendo Wii U
LEGO Marvel's Avengers| https://www.vgchartz.com/game/85102/lego-marvels-avengers/| 2016| Action| Warner Bros. Interactive Entertainment| 0.15| 0.14| 0.01| 0.03| 0.32| Nintendo Wii U
Batman: Arkham Origins| https://www.vgchartz.com/game/71970/batman-arkham-origins/| 2013| Action-Adventure| Warner Bros. Interactive Entertainment| 0.19| 0.10| 0.00| 0.03| 0.32| Nintendo Wii U
Sonic Boom| https://www.vgchartz.com/game/78663/sonic-boom-rise-of-lyric/| 2014| Action-Adventure| Sega| 0.19| 0.09| 0.00| 0.03| 0.31| Nintendo Wii U
Sing Party| https://www.vgchartz.com/game/71149/sing-party/| 2012| Party| Nintendo| 0.15| 0.13| 0.00| 0.03| 0.30| Nintendo Wii U
Lego Star Wars: The Force Awakens| https://www.vgchartz.com/game/86459/lego-star-wars-the-force-awakens/| 2016| Action-Adventure| Warner Bros. Interactive Entertainment| 0.12| 0.13| 0.02| 0.02| 0.29| Nintendo Wii U
NES Remix| https://www.vgchartz.com/game/78792/nes-remix/| 2014| Misc| Nintendo| 0.18| 0.00| 0.09| 0.02| 0.29| Nintendo Wii U
Assassin's Creed IV: Black Flag| https://www.vgchartz.com/game/71748/assassins-creed-iv-black-flag/| 2013| Action-Adventure| Ubisoft| 0.17| 0.10| 0.00| 0.03| 0.29| Nintendo Wii U
Need for Speed: Most Wanted - A Criterion Game| https://www.vgchartz.com/game/71809/need-for-speed-most-wanted-2012/| 2013| Racing| Electronic Arts| 0.13| 0.13| 0.00| 0.02| 0.28| Nintendo Wii U
Mass Effect 3| https://www.vgchartz.com/game/70788/mass-effect-3/| 2012| Role-Playing| Electronic Arts| 0.14| 0.12| 0.00| 0.02| 0.28| Nintendo Wii U
Guitar Hero Live| https://www.vgchartz.com/game/85379/guitar-hero-live/| 2015| Music| Activision| 0.18| 0.06| 0.00| 0.03| 0.27| Nintendo Wii U
Game & Wario (working title)| https://www.vgchartz.com/game/70954/game-amp-wario/| 2013| Party| Nintendo| 0.06| 0.06| 0.12| 0.01| 0.25| Nintendo Wii U
Disney Epic Mickey 2: The Power of Two| https://www.vgchartz.com/game/70965/disney-epic-mickey-2-the-power-of-two/| 2012| Platform| Disney Interactive Studios| 0.13| 0.08| 0.01| 0.02| 0.24| Nintendo Wii U
Madden NFL 13| https://www.vgchartz.com/game/70897/madden-nfl-13/| 2012| Sports| EA Sports| 0.21| 0.00| 0.00| 0.02| 0.23| Nintendo Wii U
LEGO The Hobbit| https://www.vgchartz.com/game/78948/lego-the-hobbit/| 2014| Action-Adventure| Warner Bros. Interactive Entertainment| 0.09| 0.11| 0.00| 0.02| 0.23| Nintendo Wii U
Resident Evil: Revelations| https://www.vgchartz.com/game/71526/resident-evil-revelations/| 2013| Shooter| Capcom| 0.09| 0.08| 0.03| 0.02| 0.22| Nintendo Wii U
Disney's Planes| https://www.vgchartz.com/game/73188/disneys-planes/| 2013| Adventure| Disney Interactive Studios| 0.14| 0.04| 0.00| 0.02| 0.21| Nintendo Wii U
Injustice: Gods Among Us| https://www.vgchartz.com/game/71000/injustice-gods-among-us/| 2013| Fighting| Warner Bros. Interactive Entertainment| 0.09| 0.09| 0.00| 0.02| 0.20| Nintendo Wii U
Taiko no Tatsujin: Wii U Version!| https://www.vgchartz.com/game/77451/taiko-no-tatsujin-wii-u-version/| 2013| Music| Namco Bandai Games| 0.00| 0.00| 0.19| 0.00| 0.19| Nintendo Wii U
Tekken Tag Tournament 2| https://www.vgchartz.com/game/70774/tekken-tag-tournament-2/| 2012| Fighting| Namco Bandai Games| 0.09| 0.07| 0.01| 0.01| 0.19| Nintendo Wii U
Ninja Gaiden 3| https://www.vgchartz.com/game/70797/ninja-gaiden-3-razors-edge/| 2012| Action| Nintendo| 0.14| 0.03| 0.00| 0.02| 0.19| Nintendo Wii U
Just Dance 2018| https://www.vgchartz.com/game/203197/just-dance-2018/| 2017| Music| Ubisoft| 0.07| 0.09| 0.00| 0.01| 0.17| Nintendo Wii U
Darksiders II| https://www.vgchartz.com/game/70584/darksiders-ii/| 2012| Action-Adventure| THQ| 0.07| 0.07| 0.00| 0.01| 0.16| Nintendo Wii U
Your Shape: Fitness Evolved 2013| https://www.vgchartz.com/game/71079/your-shape-fitness-evolved-2013/| 2012| Misc| Ubisoft| 0.07| 0.07| 0.00| 0.01| 0.15| Nintendo Wii U
Rodea the Sky Soldier| https://www.vgchartz.com/game/85181/rodea-the-sky-soldier/| 2015| Action-Adventure| NIS America| 0.10| 0.02| 0.01| 0.01| 0.14| Nintendo Wii U
NBA 2K13| https://www.vgchartz.com/game/70794/nba-2k13/| 2012| Sports| 2K Sports| 0.08| 0.04| 0.00| 0.01| 0.14| Nintendo Wii U
Transformers: Prime| https://www.vgchartz.com/game/71083/transformers-prime/| 2012| Fighting| Activision| 0.09| 0.03| 0.00| 0.01| 0.13| Nintendo Wii U
Game Party: Champions| https://www.vgchartz.com/game/70966/game-party-champions/| 2012| Misc| Warner Bros. Interactive Entertainment| 0.09| 0.03| 0.00| 0.01| 0.13| Nintendo Wii U
Watch Dogs| https://www.vgchartz.com/game/71531/watch-dogs/| 2014| Action-Adventure| Ubisoft| 0.07| 0.05| 0.00| 0.01| 0.13| Nintendo Wii U
WipeOut 3 The Game| https://www.vgchartz.com/game/71090/wipeout-3-the-game/| 2012| Party| Activision| 0.11| 0.00| 0.00| 0.01| 0.13| Nintendo Wii U
007 Legends| https://www.vgchartz.com/game/70957/007-legends/| 2012| Shooter| Activision| 0.06| 0.06| 0.00| 0.01| 0.13| Nintendo Wii U
Tom Clancy's Splinter Cell: Blacklist| https://www.vgchartz.com/game/71982/tom-clancys-splinter-cell-blacklist/| 2013| Action-Adventure| Ubisoft| 0.04| 0.07| 0.00| 0.01| 0.13| Nintendo Wii U
